ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h
91790000,1.061,3.961e+09,0.6727,178300000,1.255
2.125e+09,0.7808,29480000,1.603,138500000,1.798
2.999e+09,1.475,593400000,0.5441,906400000,1.776
7.482e+09,1.196,11190000,1.153,5.273e+09,1.618
667600000,1.475,1.49e+09,0.6038,2.317e+09,0.9879
9.416e+09,1.3,758200000,1.425,921400000,0.742
134400000,1.798,1.318e+09,1.704,157700000,1.882
33850000,1.866,7.776e+09,0.6101,23920000,1.587
384600000,1.049,648500000,0.6113,259900000,1.642
521900000,1.721,348900000,1.337,1.472e+09,1.486
2.503e+09,1.109,1.7e+09,1.24,6.668e+09,0.9255
7.781e+09,1.476,22030000,1.494,1.159e+09,0.7947
457500000,1.132,26490000,1.43,5.53e+08,0.8646
4.028e+09,1.779,34600000,1.155,5.11e+09,1.853
8.124e+09,1.636,166700000,1.807,2.713e+09,1.559
9.153e+09,1.953,5.854e+09,0.5194,3.464e+09,0.8009
3.392e+09,0.7191,5.854e+09,0.5194,51980000,1.783
60960000,1.128,180800000,1.703,32120000,1.365
5.41e+09,1.26,15860000,1.498,18170000,1.782
201600000,1.361,332500000,0.5948,788100000,1.986
1.925e+09,1.725,15800000,1.064,2.333e+09,1.888
1.238e+09,1.626,59620000,1.833,3.154e+09,1.668
38100000,1.908,254400000,1.833,3.59e+09,0.8913
38420000,1.191,1.964e+09,1.868,27670000,0.8212
339700000,1.349,5724000,1.282,789200000,1.659
694300000,0.9249,108700000,1.17,3857000,1.972
5.178e+09,1.845,3670000,1.443,131200000,1.201
43770000,1.314,11190000,1.955,281300000,0.9815
8550000,1.804,39310000,1.229,2.35e+08,0.9906
297500000,1.533,6479000,1.578,7817000,1.975
352900000,1.717,32600000,1.361,128400000,1.659
4.16e+09,1.592,1.704e+09,1.099,19580000,1.389
4.06e+09,1.782,3.192e+09,1.058,8076000,1.578
6.666e+09,1.755,26140000,1.747,183600000,1.188
491800000,1.889,6.105e+09,1.204,3628000,1.651
1.287e+09,1.743,32870000,1.152,781900000,1.565
1.733e+09,0.8003,168100000,0.7362,2.14e+09,1.764
8731000,1.327,834100000,0.5172,35770000,1.468
48410000,1.876,4357000,1.606,2.88e+09,1.545
1.615e+09,0.5651,32250000,1.031,1.816e+09,0.897
