ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h
3390,2,3304,1.802,2554,1.73
3536,1.994,3046,1.699,2506,1.763
3333,1.997,2920,1.974,3013,1.322
3324,1.968,2853,1.936,2479,1.772
3356,1.981,2990,1.827,2360,1.893
3448,1.992,2647,1.874,2576,1.967
3536,1.921,3014,1.841,2533,1.793
3100,1.969,3278,1.994,2604,1.969
3260,1.985,3007,1.944,2587,1.93
3303,1.979,2576,1.929,2370,1.555
3319,1.939,2792,1.83,2797,1.919
3054,1.977,2894,1.8,2742,1.982
3219,1.907,3177,1.94,2373,1.907
3235,1.941,3064,1.971,2244,1.974
3460,1.949,3039,1.655,2574,1.752
2948,1.796,2924,1.973,2699,1.712
3328,1.83,2839,1.912,2322,1.804
3377,1.956,3155,1.981,2663,1.938
3631,1.955,2907,1.937,2817,1.413
3208,1.985,2895,1.908,2548,1.742
3205,1.994,2720,1.953,2522,1.873
3237,1.918,2773,1.974,2504,1.663
3562,1.997,2865,1.954,2236,1.729
3159,1.901,2925,1.967,2695,1.99
3627,1.974,2873,1.972,2051,1.876
3285,1.985,3093,1.998,2567,1.857
3374,1.98,2846,1.982,2529,1.838
3214,1.981,2777,1.985,2182,1.738
3495,1.94,2739,1.985,2397,1.83
3089,1.99,2989,1.958,2705,1.975
3016,1.992,2951,1.91,2669,1.986
3312,1.847,3106,1.811,2557,1.983
3286,1.985,3155,1.817,2692,1.82
3182,1.995,3090,1.997,2645,1.733
2988,1.998,2687,1.968,2524,1.686
3284,1.961,3021,1.824,2192,1.573
3250,1.897,2865,1.809,2157,1.469
3098,1.919,2557,1.98,2556,1.671
3185,1.938,2792,1.851,2353,1.557
3444,1.97,2656,1.949,2452,1.746
3173,1.951,2975,1.945,2096,1.779
3575,1.932,3189,1.924,2145,1.902
3353,1.968,2964,1.961,2583,1.957
3247,1.994,2893,1.648,2750,1.834
3266,1.984,2577,1.985,2566,1.985
3228,1.949,2802,1.84,2211,1.713
3437,1.965,2723,1.745,2739,1.946
3148,1.951,2928,1.932,2478,1.873
3218,1.984,2709,1.898,2742,1.782
3394,1.992,2774,1.902,2654,1.702
3128,1.97,3007,1.934,2356,1.945
3562,1.966,2997,1.96,2526,1.744
3289,1.975,2906,1.969,2260,1.843
3235,1.984,2745,1.964,2456,1.999
3264,1.989,3079,1.705,2816,1.709
3397,1.994,3330,1.816,2002,1.785
3316,1.998,3118,1.912,2196,1.275
3039,1.988,3011,1.795,2477,1.92
3412,1.945,2940,1.921,2383,1.821
3259,1.974,3000,1.923,2514,1.918
3126,1.997,2639,1.939,2489,1.894
3227,1.993,3179,1.776,2547,1.954
3365,1.926,3229,1.689,2656,1.885
3055,1.971,3055,1.881,2500,1.975
2954,1.992,2982,1.966,2498,1.57
3421,1.925,3025,1.849,2337,1.802
3223,1.866,2917,1.951,2610,1.708
3379,1.963,2865,1.907,2911,1.669
3220,1.972,2855,1.873,2306,1.978
3208,1.991,2892,1.928,2323,1.889
3253,1.953,2851,1.969,2629,1.604
3522,1.946,2975,1.895,2359,1.987
3585,1.993,2829,1.983,2714,1.907
3178,1.892,3097,1.992,2336,1.906
3311,1.891,3004,1.997,2273,1.796
3140,1.886,2915,1.939,2246,1.563
3123,1.937,2747,1.926,2449,1.587
3212,1.968,2659,1.997,2411,1.799
3293,1.996,2791,1.957,2724,1.996
3548,1.986,2770,1.803,2219,1.815
3023,1.957,2793,1.816,2375,1.844
3520,1.952,2976,1.863,2601,1.946
3103,1.955,2914,1.931,2480,1.814
3254,1.976,2750,1.953,2853,1.853
3126,1.991,3157,1.955,2464,1.835
3273,1.974,2827,1.97,2489,1.868
3258,1.95,2921,1.879,2405,1.809
3433,1.912,2760,1.946,2913,1.556
3243,1.999,3096,1.91,3025,1.35
3478,1.897,2830,1.991,2695,1.931
3380,1.985,2877,1.988,2383,1.991
3128,1.976,3083,1.723,2640,1.752
3036,1.973,2817,1.93,2821,1.748
3247,2,2916,1.954,2409,1.836
3357,1.941,2861,1.955,2376,1.853
3202,1.959,2932,1.822,2679,1.888
3151,1.952,3203,1.769,2479,1.96
3500,1.943,2922,1.918,2777,1.836
3580,1.956,3268,1.795,2254,1.696
3405,1.973,2662,1.7,2585,1.956
3298,1.991,2594,1.904,2656,1.699
3592,1.99,3107,1.963,2615,1.928
2952,1.821,2911,1.913,2620,1.826
3326,1.766,2929,1.988,2286,1.2
3452,1.94,3006,1.997,2010,1.224
3096,1.965,2897,1.876,2192,1.892
3067,1.943,2932,1.957,2977,1.949
3176,1.995,2914,1.995,2457,1.774
3053,1.963,3209,1.907,2522,1.972
3512,1.976,2974,1.838,2590,1.876
3539,1.984,2840,1.961,2022,1.682
3402,1.92,2818,1.954,2525,1.593
3368,1.974,2813,1.754,2514,1.749
3546,1.998,2859,1.919,2729,1.94
3300,1.975,2878,1.94,2761,1.552
3224,1.939,2905,1.997,2510,1.771
3254,1.992,2942,1.988,2459,1.877
3455,1.983,2957,2,2434,1.847
3431,1.924,3166,1.982,3011,1.935
3411,1.886,3283,1.959,2270,1.91
3283,1.985,2987,1.999,2626,1.611
3013,1.946,3064,1.922,2394,1.963
3126,1.999,3449,1.949,2288,1.85
3213,1.985,3049,1.791,2485,1.828
3266,1.995,3152,1.93,2600,1.994
3311,1.994,2990,1.769,2410,1.879
3226,1.98,2854,1.932,2396,1.856
3664,1.966,2858,1.965,2838,1.545
3188,1.965,3054,1.992,2305,1.912
3042,1.958,2928,1.987,2650,1.794
3327,1.995,3035,1.976,2805,1.874
3373,1.999,2878,1.98,2113,1.885
3128,1.979,2865,1.991,2128,1.932
3322,1.979,2951,1.963,2342,1.955
3392,1.972,3136,1.964,2608,1.581
3228,1.996,3195,1.924,2494,1.981
3440,1.956,2917,1.985,2760,1.979
3281,1.992,3348,1.971,2590,1.58
3257,1.985,2916,1.703,2663,1.729
3316,1.984,2897,1.826,2630,1.792
3405,1.994,2821,1.708,2769,1.711
3117,1.996,2692,1.989,2495,1.719
3197,1.998,2649,1.89,2685,1.758
3233,1.994,2924,1.907,2298,1.604
3262,1.995,2959,1.929,2953,1.745
3374,1.955,2889,1.91,3294,1.547
3456,1.983,2982,1.875,3095,1.628
3101,1.992,2970,1.953,3318,1.288
3069,1.985,3034,1.98,2156,1.924
3259,1.984,3101,1.916,2389,1.932
3243,1.992,2910,1.906,2848,1.786
3506,1.917,3207,1.998,2556,1.899
3209,1.961,3020,1.877,2600,1.673
3415,1.9,2952,1.957,2770,1.532
3581,1.893,2943,1.935,2312,1.728
3561,1.917,2791,1.731,2317,1.248
3221,1.957,3052,1.691,2232,1.389
3465,1.968,2770,1.833,2349,1.607
3118,1.957,3115,1.913,2246,1.732
3175,1.986,2994,1.765,2728,1.836
2900,1.949,2966,1.798,2340,1.867
3402,1.994,3084,1.973,2193,1.766
3311,1.999,3092,1.882,2344,1.802
3548,1.998,2753,1.968,2657,1.743
3262,1.931,2658,1.998,2931,1.946
3283,1.974,2668,1.986,2784,1.734
3219,1.95,2579,1.975,2346,1.851
3238,1.989,3151,1.981,2638,1.935
3272,1.919,2883,1.935,2627,1.915
3374,1.975,2838,1.978,2660,1.857
3239,1.993,2874,1.986,2505,1.761
3254,1.994,2888,1.959,2287,1.595
3056,1.984,3072,1.922,2794,1.534
2854,1.992,3414,1.889,2786,1.871
2948,1.959,3072,1.852,2385,1.75
3296,1.938,2740,1.941,2544,1.86
3090,1.939,3006,1.906,2604,1.928
3404,1.977,2961,1.765,2414,1.54
3335,1.967,2923,1.717,2371,1.605
3121,1.934,2684,1.829,2555,1.701
3173,1.792,2785,1.935,2542,1.699
3539,1.909,3438,1.804,2552,1.583
3230,1.951,3285,1.905,2201,1.794
3265,1.998,3151,1.935,2452,1.63
3313,1.998,3114,1.954,2617,1.279
3239,1.946,3147,1.957,2561,1.198
3145,1.889,3202,1.942,2386,1.98
3770,1.985,2748,1.863,2424,1.833
3477,1.983,2789,1.85,2650,1.954
3340,1.94,2825,1.887,2543,1.978
3423,1.997,3128,1.935,2817,1.956
3334,1.995,3114,1.966,2291,1.905
3336,1.992,3305,1.903,2643,1.577
3259,1.942,2739,1.96,2698,1.956
3190,1.951,3007,1.915,2804,1.691
3230,1.985,3024,1.847,2236,1.904
3319,1.995,2713,1.968,2197,1.944
3214,1.992,2640,1.925,2641,1.934
3183,1.988,2954,1.839,2461,1.974
3373,1.993,3227,1.889,2736,1.636
3264,1.916,2953,1.981,2433,1.839
3502,1.935,2969,1.913,2181,1.768
3730,1.956,2714,1.827,2358,1.92
3507,1.978,2550,1.945,2625,1.766
3305,1.99,2891,1.926,2687,1.671
3215,1.957,2917,1.863,2035,1.863
3509,1.927,3014,1.853,2871,1.673
3482,1.953,3178,1.948,2778,1.871
3299,1.995,3000,1.92,2382,1.726
3485,1.989,2952,1.826,2444,1.9
3313,1.998,2795,1.997,2461,1.834
3346,1.993,3026,1.965,2945,1.728
3283,1.928,3018,1.946,2416,1.799
3236,1.871,2960,1.995,2595,1.199
3752,1.867,2957,1.988,2404,1.932
3262,1.873,2958,1.981,2688,1.852
3472,1.952,2933,1.868,2422,1.992
3465,1.998,2870,1.889,2544,1.965
3235,1.932,2907,1.968,2570,1.979
2927,1.988,2977,1.98,3072,1.759
3066,1.889,2851,1.983,2764,1.549
2871,1.933,2982,1.965,2834,1.438
3334,1.927,2936,1.936,2571,1.856
3683,1.978,2844,1.981,2478,1.292
3171,1.994,2818,1.838,3001,1.793
