ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h
786.9,1.962,44140,0.6203,292.5,0.8727
808.5,1.866,211900,0.8069,242.6,1.065
769.7,1.842,37680,1.101,223.9,1.14
785.4,1.743,18230,0.858,271.8,0.9128
793,1.944,498600,1.45,330.4,0.8619
804.9,1.897,92460,0.8019,304.6,1.33
781.5,1.912,4637,1.571,299.6,1.132
743.3,1.987,4473,1.207,352.7,0.8458
790.7,1.967,675400,0.5708,301.3,1.096
741.7,1.892,308300,0.5601,432.5,0.8299
775.7,1.973,595700,0.5689,312.4,0.9899
882.5,1.733,300300,0.5635,229.9,1.061
710.2,1.995,3310,1.457,251.9,0.9739
725.4,1.985,157800,1.824,285,0.8994
833.3,1.999,58220,0.6002,313.3,1.296
849.1,1.772,164500,0.6094,279,0.8076
721.4,1.726,155400,0.5397,376.2,0.889
898.4,1.671,36100,0.7582,317.5,0.8261
833.8,1.947,2427000,1.195,292.1,1.06
852.4,1.973,35830,0.9434,332.6,0.9174
794.4,1.877,5692,1.115,279.1,0.8567
785.7,1.938,28390,0.7564,317.7,1.18
770.3,1.965,4.665e+09,1.528,302.7,0.9145
786.8,1.961,650100,1.793,326.2,1.01
792.8,1.692,41320,1.409,314.2,0.857
778.6,1.784,1277000,1.102,284.8,1.327
761.8,1.832,11320000,1.547,291.9,0.8918
850.6,1.711,27220000,1.722,316.4,0.9697
864.8,1.897,3197,1.266,311.2,1.031
762.8,1.821,6060,1.078,332,0.9815
810.7,1.737,24370000,1.36,347.1,0.8034
820.5,1.779,195700,1.629,319.5,1.129
789.1,1.991,5.845e+09,0.5791,261.6,1.124
812,1.919,41020,0.6794,297.7,1.233
785.1,1.887,150000,0.5876,345.6,0.9704
767.1,1.948,6261,1.212,299.3,1.03
776,1.918,10450000,1.095,296.7,1.022
813.8,1.972,7.67e+08,1.097,319.6,0.7428
811.2,1.987,2.386e+09,1.187,292.1,0.7849
825,1.935,1885000,0.5641,292.9,1.13
839.6,1.844,318400,0.5554,277.4,1.128
759.5,1.751,873700000,1.872,285.4,0.8869
774.5,1.901,11110,1.872,293.5,1.036
745.8,1.987,117800,0.8232,323.4,0.8942
792.6,1.935,147000,0.6787,288,1.053
808.2,1.887,4493,1.324,312,1.161
842.4,1.918,4060,1.461,270.2,1.121
787.7,1.994,16530,0.9935,248,1.042
779,1.821,28780000,0.5095,261.8,1.141
740.6,1.786,108500000,0.6161,317.6,0.9391
751,1.877,1401,1.914,303.1,1.312
760.2,1.781,2541,1.564,342.8,0.8736
762.7,1.966,45960,1.038,325,0.9612
748.6,1.94,96180,1.027,271.3,0.9934
783.4,1.957,15250,0.9092,275.4,0.8898
801.1,1.979,87920,0.5826,312.1,0.93
778,1.999,7318,1.448,300.5,1.224
776.7,1.955,3047,1.542,266.4,0.9325
