ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h
5949,1.994,4358,1.657,15520,0.5175
6130,1.924,4889,1.689,12440,0.5698
5079,1.906,4209,1.622,16710,0.6411
4691,1.996,4652,1.847,9474,0.8576
5535,1.995,4869,1.576,6689,0.9533
5096,1.842,4806,1.738,8763,0.88
5417,1.998,5118,1.667,9951,0.9674
5449,1.993,4274,1.53,9336,0.9806
5150,1.78,4895,1.553,9486,0.8553
5310,1.959,4481,1.607,8437,0.7723
5735,1.973,4630,1.565,9577,1.234
5785,1.973,4772,1.819,9234,1.114
4693,1.993,4567,1.49,11380,0.6432
4671,1.993,5120,1.653,11400,0.7734
4608,1.797,4718,1.538,8584,0.9297
5860,1.967,4337,1.688,9772,0.8371
4819,1.72,4748,1.626,10050,0.7445
4606,1.96,4084,1.65,11140,0.8628
4416,1.918,4361,1.668,9666,0.8247
4863,1.949,4507,1.361,8918,0.7612
5440,1.854,4748,1.899,8338,0.8125
5605,1.961,4898,1.676,9882,1.355
5926,1.99,4514,1.75,8555,0.911
4987,1.924,4890,1.775,7611,0.8658
5059,1.939,4605,1.518,8591,0.96
5071,1.903,4650,1.765,7868,0.9328
4799,1.957,4441,1.526,14140,0.8833
4846,1.974,4742,1.665,15150,0.9728
5375,1.782,4099,1.656,7305,0.8873
5946,1.977,5192,1.25,7415,0.8086
5505,1.828,5001,1.706,11310,0.938
5660,1.772,4504,1.367,12140,0.9957
5663,1.955,4484,1.475,13200,0.8593
4600,1.915,4329,1.772,12530,0.8115
5557,1.892,4939,1.726,10910,1.063
5210,1.837,4650,1.691,8080,1.087
5619,1.671,4623,1.632,9798,0.6744
5524,1.941,4388,1.62,9842,0.8524
5487,1.993,5265,1.593,7245,1.029
5419,1.87,4741,1.488,11670,0.9376
5128,1.919,4860,1.564,9320,0.7816
5193,1.915,4831,1.644,10840,0.6913
5019,1.861,5049,1.703,10910,0.7838
4892,1.938,4580,1.471,8565,0.9414
4921,1.951,4739,1.624,7711,0.7354
4856,1.841,4465,1.56,9194,1.004
5883,1.706,4902,1.49,9696,0.6195
6246,1.806,4813,1.491,10640,0.9689
5809,1.859,4862,1.746,8875,0.9593
5486,1.842,4843,1.663,10340,0.7983
5417,1.866,4648,1.658,9149,1.056
5058,1.6,4842,1.746,8167,1.025
4840,1.85,4873,1.511,10540,1.07
5198,1.885,4525,1.776,11410,0.8635
4720,1.856,5012,1.569,9719,0.9018
5221,1.889,4932,1.364,10310,0.7329
4802,1.828,5428,1.314,11670,1.138
5326,1.838,4615,1.44,10030,0.8544
5202,1.837,4833,1.416,9002,0.9789
5010,1.938,5038,1.61,10270,0.9264
5177,1.862,4948,1.889,7491,0.8883
5259,1.942,4683,1.246,8979,0.9562
5355,1.978,5134,1.575,7748,1.145
5536,1.947,4772,1.536,15610,0.7714
5279,1.986,4431,1.512,16920,0.6854
4816,1.888,4896,1.626,8123,0.9318
5165,1.992,4673,1.884,10870,0.9364
5016,1.929,4411,1.739,12100,0.8743
5227,1.977,4792,1.952,10900,0.8907
4597,1.92,4581,1.783,12280,1.25
5178,2,4627,1.653,8442,0.8494
5162,1.944,4706,1.595,12160,0.9752
6060,1.897,4689,1.647,10920,0.8421
5610,1.915,4705,1.726,10160,0.6333
5119,1.952,4792,1.686,9203,0.6945
4611,1.953,5055,1.58,11330,1.016
