ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h
298.6,0.7298,50650,0.7523,27170,0.518
280.1,0.8987,63750,0.677,22770,0.5408
257.6,0.8178,45070,0.7536,18990,0.6014
261.3,1.052,24640,0.9856,17500,0.5227
227.1,0.7953,52840,0.7708,24100,0.6071
267.7,0.8339,26440,0.9075,17180,0.562
244.2,0.8394,19870,1.048,8024,0.7735
294.3,0.8609,13630,1.044,13450,0.5621
222.7,0.8548,35600,0.6665,11170,0.5399
244.3,0.8028,11580,1.119,6506,0.727
254.5,0.8086,4248,1.589,13640,0.6403
269.5,0.7386,4519,1.697,9944,0.5082
217.9,0.7901,5551,1.669,10340,0.5044
218.8,0.9309,8937,1.296,5791,0.751
263.2,0.909,16120,1.179,13170,0.6737
233.6,0.8442,145100,0.563,14580,0.6244
243.3,0.772,51810,0.8726,12090,0.5516
212.5,0.8166,11650,1.093,13420,0.5485
209.5,0.8359,13610,1.089,15500,0.5078
226,0.9025,6691,1.509,10100,0.6003
292.5,0.9074,7937,1.312,8392,0.615
247.1,0.6874,7640,1.501,7655,0.6833
210.2,0.96,10090,1.214,14050,0.5205
224.8,0.7672,5949,1.436,16550,0.5462
194.9,1.015,35340,0.797,16590,0.5058
193.8,0.7715,6419,1.561,18100,0.5792
234.5,0.888,7108,1.398,13040,0.5225
202.9,0.7645,18970,0.9777,21490,0.5385
236.4,0.7964,10280,1.264,27860,0.5181
292.6,0.8817,4402,1.949,16700,0.5168
252.8,0.9948,157700,0.6509,16360,0.5115
246.6,0.8161,171700,0.556,9766,0.6161
237.6,0.7938,233900,0.5353,13910,0.557
216.2,0.8423,4634,1.986,17570,0.51
282.1,0.5292,51560,0.8352,10310,0.5335
251,0.7847,8576,1.215,13340,0.6332
251.7,0.8609,3931,1.874,15240,0.5709
263.8,0.9164,35900,0.7354,17810,0.5174
246.1,0.8301,14080,1.022,14650,0.7221
242.2,0.79,34540,0.7266,7928,0.6545
285.1,0.7964,8580,1.264,13950,0.5588
281.9,0.824,7084,1.249,11750,0.5451
239,0.8635,12600,1.119,10400,0.5915
215.4,0.8695,8562,1.169,12220,0.5486
263.7,0.6488,9171,1.179,27210,0.5038
254.4,0.7326,10390,1.056,11020,0.6491
328.3,0.8527,6568,1.65,16020,0.6352
302.3,0.8249,8637,1.245,12820,0.5678
264.1,0.8679,10840,1.137,18040,0.5226
242.7,0.8494,9672,1.166,13750,0.577
290,0.7814,23520,0.8758,7321,0.7125
283.3,0.8166,6371,1.435,4607,0.8921
268,0.8119,7736,1.417,10540,0.6771
274.4,0.7929,5918,1.583,13060,0.5302
235.1,0.8753,10630,1.133,7037,0.7683
242.4,1.005,10840,1.15,9386,0.8056
243.3,0.8534,9089,1.256,6614,0.7278
